team,year,statName,statValue,category
Clemson,2022,penaltyYards,675,
Clemson,2022,netPassingYards,3247,
Clemson,2022,turnovers,22,
Clemson,2022,fumblesLost,12,
Clemson,2022,fumblesRecovered,11,
Clemson,2022,tacklesForLoss,106,
Clemson,2022,interceptionTDs,2,
Clemson,2022,kickReturnTDs,0,
Coastal Carolina,2022,interceptionTDs,0,
Coastal Carolina,2022,passingTDs,27,
Coastal Carolina,2022,tacklesForLoss,79,
Coastal Carolina,2022,fourthDowns,21,
Coastal Carolina,2022,kickReturns,31,
Coastal Carolina,2022,thirdDownConversions,74,
Coastal Carolina,2022,sacks,34,
Coastal Carolina,2022,puntReturns,11,
Coastal Carolina,2022,thirdDowns,173,
Coastal Carolina,2022,passCompletions,237,
Coastal Carolina,2022,games,13,
Coastal Carolina,2022,puntReturnTDs,0,
Coastal Carolina,2022,firstDowns,283,
Coastal Carolina,2022,interceptions,6,
Coastal Carolina,2022,rushingTDs,22,
Coastal Carolina,2022,passesIntercepted,9,
Coastal Carolina,2022,possessionTime,25265,
Coastal Carolina,2022,penaltyYards,739,
Coastal Carolina,2022,fumblesLost,13,
Coastal Carolina,2022,totalYards,5267,
Coastal Carolina,2022,penalties,81,
Coastal Carolina,2022,puntReturnYards,79,
Coastal Carolina,2022,netPassingYards,3200,
Coastal Carolina,2022,fourthDownConversions,12,
Coastal Carolina,2022,interceptionYards,101,
Coastal Carolina,2022,kickReturnYards,590,
Coastal Carolina,2022,kickReturnTDs,1,
Coastal Carolina,2022,fumblesRecovered,19,
Coastal Carolina,2022,turnovers,19,
Coastal Carolina,2022,rushingYards,2067,
Coastal Carolina,2022,rushingAttempts,513,
Coastal Carolina,2022,passAttempts,361,
Colorado,2022,games,12,
Colorado,2022,fumblesRecovered,7,
Colorado,2022,puntReturns,11,
Colorado,2022,puntReturnYards,177,
Colorado,2022,kickReturnYards,750,
Colorado,2022,fourthDownConversions,11,
Colorado,2022,thirdDownConversions,52,
Colorado,2022,thirdDowns,164,
Colorado,2022,penaltyYards,579,
Colorado,2022,fumblesLost,12,
Colorado,2022,interceptions,10,
Colorado,2022,tacklesForLoss,49,
Colorado,2022,interceptionTDs,0,
Colorado,2022,passAttempts,360,
Colorado,2022,fourthDowns,30,
Colorado,2022,interceptionYards,57,
Colorado,2022,rushingYards,1300,
Colorado,2022,turnovers,22,
Colorado,2022,penalties,64,
Colorado,2022,totalYards,3375,
Colorado,2022,sacks,10,
Colorado,2022,firstDowns,190,
Colorado,2022,rushingAttempts,387,
Colorado,2022,kickReturns,35,
Colorado,2022,netPassingYards,2075,
Colorado,2022,possessionTime,19718,
Colorado,2022,passesIntercepted,6,
Colorado,2022,passCompletions,179,
Colorado,2022,passingTDs,10,
Colorado,2022,rushingTDs,11,
Colorado,2022,puntReturnTDs,1,
